arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
757840,31/12/2021,31/12/2021,700.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.90631359053791,12.55757131607374
374811,19/9/2018,31/10/2020,0.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.73534868114525,12.431901655318537
559437,1/1/2020,31/12/2021,800.0,100.0,1.0,125.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.789723639651534,12.385602370778914
733272,1/1/2022,31/1/2022,1000.0,50.0,1.0,125.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.755095551487386,12.382351053371806
229963,1/8/2016,31/12/2019,0.0,0.0,1.0,125.0,NN,Non noto,189.0,SB,Sbraccio su palo,,,,,,,41.93221274578081,12.365097169182672
546170,13/3/2019,13/2/2026,800.0,0.0,1.0,32.0,AS,Armatura stradale,1718.0,TP,Testapalo,,,,,,,41.99206903329103,12.49015443642336
1198165,1/4/2025,13/2/2026,900.0,200.0,1.0,61.0,AS,Armatura stradale,2443.0,SB,Sbraccio su palo,,,,,,,41.757469236159295,12.362198658664074
528615,1/1/2020,13/2/2026,850.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.84516999796613,12.59142941557528
652910,1/11/2020,13/2/2026,400.0,0.0,1.0,19.0,AS,Armatura stradale,2811.0,TP,Testapalo,,,,,,,41.886647752715774,12.517344536664584
414935,4/11/2019,31/12/2021,700.0,150.0,1.0,250.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.975696831105154,12.479399631936571
331121,22/12/2016,30/5/2018,0.0,50.0,1.0,100.0,LA,Lanterna artistica ,639.0,SB,Sbraccio su palo,,,,,,,41.86481908038116,12.673123635010285
190478,28/6/2016,31/12/2021,900.0,75.0,1.0,61.0,AS,Armatura stradale,1241.0,SB,Sbraccio su palo,,,,,,,41.87543899166343,12.574659142465302
740089,1/1/2021,13/2/2026,620.0,,1.0,33.0,AS,Armatura stradale,2844.0,SB,Sbraccio su palo,,,,,,,41.86554638421848,12.42452434226857
137306,26/3/2018,13/2/2026,0.0,0.0,1.0,54.5,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.941311811645114,12.481890010765994
871921,1/6/2020,31/12/2024,600.0,,1.0,36.0,AS,Armatura stradale,749.0,NN,Non noto,,,,,,,41.86141083365985,12.54646827633922
943022,1/1/2023,13/2/2026,0.0,,1.0,52.4,AU,Arredo urbano,3062.0,TP,Testapalo,,,,,,,41.864570441264554,12.698567764658964
572909,20/5/2020,31/12/2020,0.0,0.0,1.0,400.0,PR,Proiettore,250.0,SB,Sbraccio su palo,,,,,,,41.79533301992024,12.42569274366433
833552,1/1/2022,31/3/2025,580.0,0.0,1.0,70.0,AU,Arredo urbano,1152.0,TP,Testapalo,,,,,,,42.05591142005492,12.288639845420716
1206474,1/8/2025,13/2/2026,,,1.0,70.0,LA,Lanterna artistica ,2065.0,TP,Testapalo,,,,,,,41.92071007141124,12.678224001692222
