arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
3330,1/1/2018,13/2/2026,400.0,0.0,1.0,70.0,SF,Sfera,189.0,TP,Testapalo,,,,,,,41.78050567424174,12.385682992639554
3331,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,122.0,SB,Sbraccio su palo,,,,,,,42.00265711367362,12.433848558040939
3332,1/1/2018,13/2/2026,0.0,0.0,1.0,150.0,PR,Proiettore,123.0,ME,Mensola,,,,,,,41.87448036944906,12.441229791869459
3333,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,PR,Proiettore,123.0,ME,Mensola,,,,,,,41.71785479940669,12.530792545104575
3334,1/1/2018,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,122.0,SB,Sbraccio su palo,,,,,,,41.84209437564449,12.600528825755658
3335,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,LA,Lanterna artistica ,144.0,ME,Mensola,,,,,,,41.92792488679957,12.52868296162185
3336,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,LA,Lanterna artistica ,144.0,ME,Mensola,,,,,,,42.00571459822088,12.441248195238263
3337,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,LA,Lanterna artistica ,144.0,ME,Mensola,,,,,,,41.78519383304286,12.475792928622452
3338,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,LA,Lanterna artistica ,144.0,NN,Non noto,,,,,,,41.738599759915594,12.35547443856898
3339,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,LA,Lanterna artistica ,144.0,NN,Non noto,,,,,,,41.863747435155595,12.358954209712705
3340,1/1/2018,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,122.0,SB,Sbraccio su palo,,,,,,,41.70481606818748,12.428836140968745
