arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
757840,31/12/2021,31/12/2021,700.0,0.0,1.0,125.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.85187007225258,12.686399357429472
374811,19/9/2018,31/10/2020,0.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.72663736645515,12.358376286553016
559437,1/1/2020,31/12/2021,800.0,100.0,1.0,125.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.85027948707354,12.578729937315902
733272,1/1/2022,31/1/2022,1000.0,50.0,1.0,125.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.86085358541536,12.596277866191416
229963,1/8/2016,31/12/2019,0.0,0.0,1.0,125.0,NN,Non noto,189.0,SB,Sbraccio su palo,,,,,,,41.81282172299432,12.47701052106686
546170,13/3/2019,13/2/2026,800.0,0.0,1.0,32.0,AS,Armatura stradale,1718.0,TP,Testapalo,,,,,,,41.8907612966749,12.414949340885617
1198165,1/4/2025,13/2/2026,900.0,200.0,1.0,61.0,AS,Armatura stradale,2443.0,SB,Sbraccio su palo,,,,,,,41.86035993214726,12.671364499587767
528615,1/1/2020,13/2/2026,850.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.719619460503495,12.518495139465212
652910,1/11/2020,13/2/2026,400.0,0.0,1.0,19.0,AS,Armatura stradale,2811.0,TP,Testapalo,,,,,,,41.9394795473419,12.293427989245984
414935,4/11/2019,31/12/2021,700.0,150.0,1.0,250.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.83144065320554,12.521811273042994
331121,22/12/2016,30/5/2018,0.0,50.0,1.0,100.0,LA,Lanterna artistica ,639.0,SB,Sbraccio su palo,,,,,,,41.73404027071691,12.375809068864156
190478,28/6/2016,31/12/2021,900.0,75.0,1.0,61.0,AS,Armatura stradale,1241.0,SB,Sbraccio su palo,,,,,,,41.9626179744044,12.541861301816235
740089,1/1/2021,13/2/2026,620.0,,1.0,33.0,AS,Armatura stradale,2844.0,SB,Sbraccio su palo,,,,,,,41.7838372123853,12.340833333942111
137306,26/3/2018,13/2/2026,0.0,0.0,1.0,54.5,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.886296000167,12.37386890033289
871921,1/6/2020,31/12/2024,600.0,,1.0,36.0,AS,Armatura stradale,749.0,NN,Non noto,,,,,,,41.765390411268285,12.471206491333009
943022,1/1/2023,13/2/2026,0.0,,1.0,52.4,AU,Arredo urbano,3062.0,TP,Testapalo,,,,,,,42.081752618456306,12.325022956822904
572909,20/5/2020,31/12/2020,0.0,0.0,1.0,400.0,PR,Proiettore,250.0,SB,Sbraccio su palo,,,,,,,41.74896915729245,12.340377852306773
833552,1/1/2022,31/3/2025,580.0,0.0,1.0,70.0,AU,Arredo urbano,1152.0,TP,Testapalo,,,,,,,41.90691507881452,12.622183666726613
