arm_id;arm_data_ini;arm_data_fin;arm_altezza;arm_lunghezza_sbraccio;arm_numero_lampade;arm_lmp_potenza_nominale;tar_cod;tar_descr;tmo_id;tpo_cod;tpo_descr;sgn_id;sgn_data_inserimento;tcs_id;tcs_descr;tci_id;tci_descr
757840;31/12/2021;31/12/2021;700.0;0.0;1.0;125.0;AS;Armatura stradale;611.0;SB;Sbraccio su palo;;;;;;
374811;19/9/2018;31/10/2020;0.0;0.0;1.0;100.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
559437;1/1/2020;31/12/2021;800.0;100.0;1.0;125.0;AS;Armatura stradale;613.0;SB;Sbraccio su palo;;;;;;
733272;1/1/2022;31/1/2022;1000.0;50.0;1.0;125.0;AS;Armatura stradale;613.0;SB;Sbraccio su palo;;;;;;
229963;1/8/2016;31/12/2019;0.0;0.0;1.0;125.0;NN;Non noto;189.0;SB;Sbraccio su palo;;;;;;
546170;13/3/2019;13/2/2026;800.0;0.0;1.0;32.0;AS;Armatura stradale;1718.0;TP;Testapalo;;;;;;
1198165;1/4/2025;13/2/2026;900.0;200.0;1.0;61.0;AS;Armatura stradale;2443.0;SB;Sbraccio su palo;;;;;;
528615;1/1/2020;13/2/2026;850.0;0.0;1.0;100.0;AS;Armatura stradale;189.0;TP;Testapalo;;;;;;
652910;1/11/2020;13/2/2026;400.0;0.0;1.0;19.0;AS;Armatura stradale;2811.0;TP;Testapalo;;;;;;
414935;4/11/2019;31/12/2021;700.0;150.0;1.0;250.0;AS;Armatura stradale;613.0;SB;Sbraccio su palo;;;;;;
331121;22/12/2016;30/5/2018;0.0;50.0;1.0;100.0;LA;Lanterna artistica ;639.0;SB;Sbraccio su palo;;;;;;
190478;28/6/2016;31/12/2021;900.0;75.0;1.0;61.0;AS;Armatura stradale;1241.0;SB;Sbraccio su palo;;;;;;
740089;1/1/2021;13/2/2026;620.0;;1.0;33.0;AS;Armatura stradale;2844.0;SB;Sbraccio su palo;;;;;;
137306;26/3/2018;13/2/2026;0.0;0.0;1.0;54.5;AS;Armatura stradale;550.0;NN;Non noto;;;;;;
871921;1/6/2020;31/12/2024;600.0;;1.0;36.0;AS;Armatura stradale;749.0;NN;Non noto;;;;;;
943022;1/1/2023;13/2/2026;0.0;;1.0;52.4;AU;Arredo urbano;3062.0;TP;Testapalo;;;;;;
572909;20/5/2020;31/12/2020;0.0;0.0;1.0;400.0;PR;Proiettore;250.0;SB;Sbraccio su palo;;;;;;
833552;1/1/2022;31/3/2025;580.0;0.0;1.0;70.0;AU;Arredo urbano;1152.0;TP;Testapalo;;;;;;
1206474;1/8/2025;13/2/2026;;;1.0;70.0;LA;Lanterna artistica ;2065.0;TP;Testapalo;;;;;;
1207860;1/8/2025;13/2/2026;750.0;;1.0;60.0;AS;Armatura stradale;2065.0;SB_DR;Sbraccio attacco dritto;;;;;;
465070;1/1/2020;13/2/2026;800.0;0.0;1.0;50.0;AS;Armatura stradale;605.0;TP;Testapalo;;;;;;
957570;31/5/2023;10/7/2023;;;1.0;75.0;AS;Armatura stradale;189.0;TP;Testapalo;;;;;;
438728;1/10/2019;31/10/2020;800.0;0.0;1.0;250.0;AS;Armatura stradale;189.0;NN;Non noto;;;;;;
104342;1/1/2018;31/12/2021;800.0;300.0;1.0;76.4;AS;Armatura stradale;723.0;SB;Sbraccio su palo;;;;;;
386842;10/7/2019;31/12/2022;750.0;0.0;1.0;100.0;AS;Armatura stradale;104.0;TP;Testapalo;;;;;;
566863;1/1/2020;31/5/2022;820.0;0.0;1.0;70.0;AS;Armatura stradale;53.0;TP;Testapalo;;;;;;
845864;1/7/2022;31/12/2023;900.0;;1.0;150.0;AS;Armatura stradale;157.0;SB;Sbraccio su palo;;;;;;
1070524;1/1/2024;31/12/2024;800.0;;1.0;30.5;AS;Armatura stradale;749.0;TP;Testapalo;;;;;;
1265125;1/1/2026;13/2/2026;800.0;;1.0;62.0;AS;Armatura stradale;2294.0;SB;Sbraccio su palo;;;;;;
1076733;1/11/2023;13/2/2026;800.0;0.0;1.0;60.0;AS;Armatura stradale;2065.0;;;;;;;;
396495;6/8/2019;13/2/2026;500.0;50.0;1.0;70.0;AU;Arredo urbano;613.0;SB;Sbraccio su palo;;;;;;
730622;1/1/2022;31/1/2022;400.0;0.0;1.0;125.0;SF;Sfera;599.0;TP;Testapalo;;;;;;
673634;1/1/2021;13/2/2026;0.0;0.0;1.0;100.0;AS;Armatura stradale;7.0;SB;Sbraccio su palo;;;;;;
259859;28/9/2016;31/12/2019;800.0;0.0;1.0;51.0;AS;Armatura stradale;1155.0;NN;Non noto;;;;;;
499238;1/1/2020;13/2/2026;350.0;0.0;1.0;70.0;AS;Armatura stradale;640.0;TP;Testapalo;;;;;;
761645;31/12/2021;31/12/2021;750.0;0.0;1.0;125.0;AS;Armatura stradale;611.0;SB;Sbraccio su palo;;;;;;
1251764;1/1/2025;13/2/2026;800.0;0.0;1.0;37.0;AS;Armatura stradale;749.0;TP;Testapalo;;;;;;
132852;1/1/2018;31/10/2020;0.0;0.0;1.0;4.0;LA;Lanterna artistica ;189.0;ME;Mensola;;;;;;
628037;1/11/2020;13/2/2026;0.0;0.0;1.0;41.0;AS;Armatura stradale;749.0;TP;Testapalo;;;;;;
1256048;1/1/2026;13/2/2026;700.0;163.0;1.0;53.0;AS;Armatura stradale;749.0;SB;Sbraccio su palo;;;;;;
1104326;1/1/2024;13/2/2026;900.0;150.0;1.0;90.0;AS;Armatura stradale;3954.0;SB;Sbraccio su palo;;;;;;
