arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto,giorni_vita_attuale
0,54.5,550,2395.0,2296
0,32.5,550,2354.0,2296
0,12,189,2389.0,2296
0,27.5,550,2428.0,2296
420,70,815,1000.0,469
820,100,53,2390.0,2296
820,100,53,2390.0,2296
1120,250,241,2390.0,469
1220,400,33,1459.0,469
820,100,241,858.0,469
820,100,53,755.0,469
820,100,53,755.0,469
1220,400,33,2099.0,469
1220,400,33,2099.0,469
920,150,241,2400.0,2296
1120,250,241,1592.0,469
1120,250,36,1246.0,469
820,100,53,2332.0,2296
820,100,53,2390.0,2296
820,100,53,2465.0,2296
820,100,53,2381.0,2296
400,100,286,1790.0,1035
900,150,66,2370.0,1004
500,100,286,1342.0,1035
300,70,286,1118.0,1035
500,100,286,1139.0,1035
500,100,286,1040.0,1035
500,100,286,1095.0,1035
400,100,286,1179.0,1035
500,43,549,831.0,492
500,43,549,812.0,492
500,43,549,830.0,492
500,43,549,809.0,492
500,43,549,809.0,492
500,43,549,809.0,492
500,43,549,807.0,492
500,43,549,807.0,492
500,43,549,807.0,492
500,43,549,808.0,492
500,43,549,809.0,492
500,43,549,831.0,492
500,43,549,818.0,492
500,43,549,814.0,492
500,43,549,809.0,492
800,49,1241,2036.0,2012
800,100,1180,2035.0,2012
850,70,181,2563.0,2369
850,70,181,2457.0,2369
850,70,181,2493.0,2369
850,70,181,2465.0,2369
0,150,189,1876.0,1247
1000,250,189,1228.0,1208
850,125,262,1225.0,1208
850,125,262,1225.0,1208
850,125,262,1225.0,1208
850,125,262,1228.0,1208
800,100,1170,1228.0,1208
800,100,1170,1228.0,1208
0,35,1014,1219.0,1196
0,48,1022,1251.0,1196
0,48,1022,1219.0,1196
0,48,1022,1216.0,1196
900,80,189,1251.0,1196
0,48,1022,1260.0,1196
0,48,1022,1204.0,1196
0,48,1022,1204.0,1196
900,58,605,1258.0,1196
800,100,189,1244.0,1196
0,100,189,2947.0,2650
800,100,189,1191.0,1189
0,100,597,1227.0,1170
0,150,189,1130.0,491
0,100,104,1939.0,1656
0,100,104,1843.0,1656
0,100,530,1800.0,1656
0,150,104,1823.0,1656
0,150,104,1919.0,1656
0,100,104,1990.0,1656
0,100,104,1743.0,1656
0,125,269,1174.0,1146
0,100,269,1180.0,1146
850,100,8,1205.0,1146
900,100,8,1205.0,1146
900,100,8,1173.0,1146
900,150,8,1176.0,1146
900,150,8,1176.0,1146
850,125,262,1211.0,1146
850,125,262,1162.0,1146
850,100,8,1211.0,1146
850,100,8,1197.0,1146
850,100,8,1197.0,1146
850,100,8,1167.0,1146
850,100,8,1162.0,1146
900,150,110,1194.0,1146
800,125,189,1157.0,1146
800,100,1260,1874.0,1855
0,100,118,1459.0,1428
0,70,189,1432.0,1428
0,350,261,1960.0,1960
0,350,261,2506.0,1960
0,100,540,875.0,524
0,100,540,875.0,524
0,150,189,2400.0,2132
0,100,189,2400.0,2132
0,100,1148,1107.0,1036
0,125,189,1061.0,1020
0,0,189,1036.0,1020
800,70,200,1738.0,1676
850,70,104,1739.0,1676
850,70,104,1771.0,1676
800,100,193,1782.0,1676
800,150,600,1782.0,1676
800,70,104,1695.0,1676
600,100,964,1782.0,1676
450,125,1116,1724.0,1676
0,125,256,983.0,933
0,150,100,983.0,933
0,125,599,926.0,561
0,250,171,917.0,561
0,150,977,826.0,561
0,100,530,1476.0,1438
0,100,612,658.0,578
0,250,640,592.0,578
0,250,640,592.0,578
0,250,640,592.0,578
0,100,613,617.0,578
0,100,612,672.0,578
0,125,611,952.0,687
0,70,601,833.0,687
350,100,613,632.0,513
600,92,617,821.0,788
800,125,611,308.0,253
800,125,611,308.0,253
800,125,611,308.0,253
800,250,611,308.0,253
800,125,611,308.0,253
800,125,611,308.0,253
800,125,611,308.0,253
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,209.0,160
800,125,611,345.0,337
800,125,611,345.0,337
800,125,611,345.0,337
800,125,611,345.0,337
800,125,611,345.0,337
800,125,611,345.0,337
800,150,241,400.0,396
800,150,241,400.0,396
800,150,66,400.0,396
800,70,7,408.0,396
300,36,1409,415.0,396
300,36,1409,415.0,396
300,36,1409,415.0,396
300,36,1409,415.0,396
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,125,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,186
800,90,189,210.0,185
800,90,189,210.0,185
800,90,189,210.0,185
800,70,200,412.0,396
800,150,8,406.0,396
800,70,8,415.0,396
800,150,611,396.0,396
800,84,1384,400.0,396
550,32,440,400.0,396
800,250,189,307.0,230
800,125,189,307.0,233
800,125,189,307.0,233
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
800,125,189,307.0,230
