arm_altezza,arm_lmp_potenza_nominale,conteggio_righe
0,0.0,147
0,1.0,1
0,3.0,1
0,4.0,4
0,5.0,3
0,5.2,1
0,6.0,3
0,9.0,1
0,10.0,5
0,11.0,2
0,11.9,2
0,12.0,8
0,14.0,1
0,14.5,1
0,15.0,17
0,15.5,5
0,16.0,1
0,17.0,4
0,18.0,11
0,19.0,11
0,20.0,25
0,21.0,16
0,21.5,6
0,22.0,1
0,22.5,2
0,22.9,2
0,23.0,30
0,24.0,5
0,25.0,9
0,26.0,8
0,27.0,42
0,27.5,9
0,28.0,16
0,28.8,2
0,29.0,1
0,30.0,38
0,30.5,6
0,30.8,4
0,31.0,12
0,31.3,2
0,31.5,4
0,32.0,16
0,32.5,40
0,33.4,4
0,33.9,2
0,34.0,6
0,34.6,1
0,35.0,37
0,36.0,29
0,37.0,16
0,37.8,1
0,38.0,21
0,39.0,6
0,40.0,20
0,40.9,2
0,41.0,59
0,41.5,20
0,42.0,2
0,42.5,16
0,43.0,2
0,44.5,1
0,45.0,6
0,46.0,10
0,47.0,21
0,48.0,116
0,50.0,146
0,50.5,1
0,52.0,6
0,52.3,1
0,52.4,1
0,52.5,1
0,53.0,14
0,54.0,29
0,54.5,34
0,55.0,1
0,57.0,1
0,58.0,3
0,59.0,23
0,59.5,2
0,60.0,17
0,61.0,26
0,63.0,2
0,66.0,1
0,67.0,20
0,67.7,1
0,68.0,1
0,70.0,4103
0,72.0,3
0,73.0,1
0,74.0,8
0,75.0,5
0,76.0,12
0,77.0,7
0,78.0,9
0,79.0,33
0,80.0,50
0,82.0,2
0,84.0,3
0,88.0,2
0,89.0,1
0,90.0,8
0,91.0,2
0,94.0,1
0,98.0,6
0,100.0,2110
0,102.0,2
0,103.0,2
0,105.0,4
0,106.0,1
0,107.0,1
0,108.9,1
0,110.0,2252
0,111.0,3
0,113.0,4
0,116.0,15
0,119.0,2
0,125.0,263
0,128.0,1
0,130.0,8
0,145.0,3
0,148.0,4
0,150.0,1282
0,152.0,1
0,159.0,8
0,167.0,6
0,200.0,1
0,210.0,861
0,220.0,3
0,238.0,5
0,250.0,818
0,278.0,3
0,350.0,61
0,375.0,7
0,400.0,154
0,600.0,22
0,1000.0,34
10,15.0,1
10,18.0,1
20,100.0,10
20,300.0,3
25,264.0,10
30,8.0,2
30,18.0,4
30,20.0,1
30,50.0,1
40,3.0,4
40,55.0,1
50,8.0,3
50,13.0,1
50,26.0,1
50,30.0,1
50,35.0,5
50,70.0,31
50,100.0,20
50,160.0,3
50,250.0,6
80,3.0,23
80,14.0,9
100,7.0,1
100,8.0,2
100,12.0,1
100,14.0,3
100,18.0,1
100,20.0,4
100,70.0,15
100,80.0,2
100,125.0,3
150,70.0,3
200,17.0,1
200,18.0,1
200,20.0,2
200,26.0,7
200,36.0,4
200,45.0,1
200,50.0,1
200,70.0,16
200,150.0,1
250,5.0,1
250,11.0,1
250,12.0,2
250,19.0,1
250,20.0,6
250,23.0,1
250,27.0,2
250,30.0,2
250,35.0,3
250,36.0,1
250,38.0,1
250,40.0,1
250,70.0,3
250,100.0,1
250,125.0,4
300,0.0,8
300,10.0,2
300,11.0,3
300,12.0,1
300,15.0,1
300,16.0,1
300,18.0,1
300,19.0,8
300,19.1,1
300,20.0,15
300,23.0,8
300,25.0,1
300,26.0,3
300,27.0,2
300,27.6,2
300,28.0,2
300,29.0,4
300,30.0,4
300,30.5,1
300,32.0,4
300,35.0,13
300,36.0,7
300,40.0,1
300,42.0,1
300,44.0,2
300,50.0,5
300,51.0,1
300,56.0,4
300,58.0,1
300,70.0,137
300,100.0,25
300,125.0,6
300,150.0,1
300,250.0,3
320,22.0,1
320,27.0,1
320,36.0,1
320,47.0,1
320,70.0,1
320,150.0,1
350,10.0,1
350,16.0,1
350,18.0,1
350,19.0,4
350,20.0,1
350,21.0,1
350,21.5,1
350,23.0,3
350,26.0,3
350,27.0,1
350,29.0,2
350,30.0,1
350,30.5,1
350,31.3,2
350,31.9,3
350,35.0,6
350,36.0,1
350,40.0,3
350,44.0,2
350,50.0,2
350,70.0,76
350,80.0,1
350,100.0,8
350,125.0,18
350,150.0,1
370,20.0,1
400,0.0,4
400,9.0,10
400,9.5,2
400,10.0,3
400,11.0,1
400,12.0,2
400,14.0,1
400,15.0,2
400,16.0,1
400,18.0,4
400,19.0,2
400,20.0,11
400,21.0,1
400,21.5,1
400,22.0,9
400,23.0,2
400,24.0,1
400,25.0,2
400,26.0,6
400,27.0,2
400,28.0,11
400,29.0,5
400,30.0,49
400,30.5,2
400,35.0,33
400,37.0,19
400,38.0,1
400,38.9,1
400,39.0,1
400,41.0,6
400,43.0,1
400,45.0,2
400,48.0,2
400,50.0,18
400,53.0,3
400,58.0,4
400,60.0,5
400,70.0,284
400,80.0,4
400,90.0,2
400,100.0,136
400,125.0,122
400,150.0,8
400,250.0,1
410,100.0,1
420,20.0,1
420,27.0,1
420,45.0,1
420,70.0,1
430,70.0,1
450,15.0,1
450,17.0,2
450,18.0,1
450,19.0,6
450,20.0,1
450,20.5,2
450,21.5,21
450,22.0,3
450,23.0,2
450,26.0,1
450,27.0,3
450,30.0,2
450,30.5,5
450,31.0,1
450,31.5,2
450,33.0,1
450,35.0,21
450,37.0,19
450,40.0,3
450,41.0,6
450,42.0,3
450,45.0,1
450,46.0,2
450,50.0,15
450,60.0,5
450,70.0,84
450,72.0,2
450,80.0,9
450,100.0,27
450,125.0,12
450,150.0,20
450,250.0,2
470,24.0,1
500,0.0,1
500,10.0,1
500,12.0,1
500,14.0,1
500,15.0,2
500,16.0,2
500,17.0,8
500,19.0,9
500,20.0,12
500,21.0,12
500,22.0,15
500,23.0,5
500,24.0,1
500,26.0,4
500,27.0,1
500,27.6,1
500,28.0,8
500,29.0,2
500,30.0,8
500,30.5,2
500,30.8,1
500,31.0,4
500,31.5,18
500,32.0,6
500,35.0,5
500,36.0,1
500,37.0,17
