arm_altezza,arm_lmp_potenza_nominale,tmo_id,giorni_guasto
900,125,166,7724.0
800,28,758,380.0
800,28,758,380.0
800,28,758,380.0
800,28,758,380.0
0,42.5,550,1129.0
0,42.5,550,1149.0
0,42.5,550,1201.0
0,32.5,550,2034.0
0,27.5,550,2346.0
0,32.5,550,2312.0
0,54.5,550,2401.0
0,54.5,550,2640.0
0,61,550,1661.0
0,103,550,2608.0
0,32.5,550,2608.0
0,41.5,550,2489.0
0,61,550,2034.0
0,32.5,655,1709.0
0,41.5,550,1701.0
0,32.5,550,2788.0
0,32.5,655,2534.0
0,32.5,655,1205.0
0,32.5,655,1618.0
0,32.5,655,1647.0
0,32.5,655,1414.0
0,32.5,655,1753.0
0,32.5,655,1645.0
0,32.5,655,1645.0
0,41.5,550,2535.0
0,54.5,550,2312.0
0,32.5,550,1493.0
0,41.5,550,2635.0
0,54.5,672,2282.0
0,54.5,672,2282.0
0,32.5,550,1701.0
0,42.5,655,2571.0
0,42.5,655,2285.0
0,61,550,1407.0
0,32.5,655,1520.0
0,32.5,655,2034.0
0,32.5,655,2034.0
0,32.5,655,1299.0
0,41.5,550,2767.0
0,36,189,917.0
0,36,189,1339.0
0,36,189,1486.0
0,54.5,672,1582.0
0,41.5,672,1551.0
0,41.5,672,1998.0
0,54.5,672,1281.0
0,54.5,672,2311.0
0,54.5,672,2034.0
0,54.5,672,1708.0
0,54.5,672,1690.0
0,54.5,672,800.0
0,54.5,672,1522.0
0,54.5,672,1582.0
0,40,777,2038.0
0,40,777,1339.0
0,40,777,1645.0
0,54.5,550,2464.0
0,32.5,655,1373.0
0,32.5,655,1373.0
0,42.5,550,2392.0
0,20,550,2392.0
0,41.5,672,1242.0
0,41.5,672,1486.0
0,41.5,672,1834.0
0,41.5,672,1893.0
0,41.5,550,163.0
0,54.5,550,1438.0
0,54.5,550,1690.0
0,32.5,550,1957.0
0,54.5,550,1309.0
0,54.5,550,1309.0
0,54.5,550,1309.0
0,54.5,550,1309.0
0,54.5,550,1309.0
0,54.5,550,2257.0
0,32.5,655,2741.0
0,32.5,655,2571.0
0,78,550,2034.0
0,61,550,544.0
0,42.5,655,1153.0
0,27.5,550,1204.0
0,61,550,192.0
0,61,550,192.0
0,61,550,339.0
0,47,550,185.0
0,47,550,1988.0
0,27.5,550,281.0
0,61,550,1990.0
0,47,550,1209.0
0,80,550,2013.0
0,70,269,1266.0
0,70,189,680.0
0,70,189,826.0
0,41.5,550,189.0
0,21,655,478.0
0,70,189,1206.0
0,61,550,1855.0
0,54,550,1298.0
0,53,672,1429.0
0,53,672,1429.0
0,53,672,1429.0
0,53,672,1429.0
0,53,672,1429.0
0,53,672,1429.0
0,41,550,2668.0
0,80,550,2489.0
0,32,550,1068.0
0,41,550,2369.0
0,41,550,2369.0
0,21,660,1200.0
0,45,778,681.0
0,40,660,2489.0
400,70,3748,226.0
400,70,3748,226.0
500,60,3748,665.0
650,45,660,1104.0
650,40,660,1104.0
500,75,1867,1247.0
900,57,1867,1689.0
800,31,1867,1253.0
0,58,550,1225.0
0,76,550,220.0
0,39,672,1254.0
0,76,550,2272.0
0,76,550,1975.0
0,52,550,2067.0
0,22.5,776,288.0
0,22.5,776,288.0
0,58,550,550.0
0,44.5,550,169.0
900,53,749,563.0
600,40,613,1360.0
600,40,613,1352.0
600,40,613,442.0
1200,79,613,508.0
0,32.5,550,363.0
0,60,550,1000.0
0,32.5,550,1000.0
0,32.5,550,1225.0
0,47,550,498.0
0,41.5,550,1598.0
0,21,550,1063.0
0,41.5,550,1061.0
0,41.5,550,1064.0
0,54.5,550,1217.0
0,21,550,1063.0
0,21,550,1063.0
0,31,655,1646.0
0,20,551,457.0
0,78,550,272.0
0,47,550,622.0
0,80,550,1533.0
0,60,550,735.0
0,54.5,550,2395.0
0,32.5,550,2354.0
0,18,189,823.0
0,78,550,1281.0
0,47,550,349.0
0,54.5,551,497.0
0,28,551,638.0
0,28,551,638.0
0,28,551,638.0
0,28,551,638.0
0,21.5,655,344.0
0,60,550,2067.0
0,32.5,550,1630.0
0,12,189,2152.0
0,12,189,2389.0
0,78,550,672.0
0,27.5,550,2428.0
0,60,550,849.0
0,100,210,1598.0
0,47,550,1091.0
0,103,550,874.0
0,78,550,1522.0
0,47,550,1232.0
0,47,550,1241.0
0,21,550,1205.0
0,21,550,1237.0
0,21,550,363.0
0,27.5,550,898.0
0,27.5,550,1957.0
0,32.5,550,474.0
0,15.5,551,1514.0
0,15.5,551,1514.0
0,42.5,551,1174.0
0,42.5,551,468.0
0,15.5,655,1831.0
0,15.5,655,485.0
0,80,550,843.0
0,21.5,655,336.0
0,40,759,1615.0
0,40,759,1901.0
0,40,759,643.0
0,40,759,643.0
0,27,189,1605.0
0,27,189,2257.0
0,19,749,1952.0
0,27,189,2263.0
0,72,749,2207.0
0,70,189,1954.0
0,70,189,1954.0
920,150,241,1025.0
920,150,241,1090.0
920,150,241,995.0
920,150,241,1039.0
320,47,335,1576.0
1800,400,870,365.0
1800,400,870,365.0
1800,400,870,365.0
1800,400,870,365.0
0,100,241,965.0
0,100,241,1127.0
740,150,827,2551.0
920,150,241,1767.0
740,150,827,1148.0
400,70,821,2422.0
1020,250,842,2558.0
420,70,815,1000.0
700,100,53,1175.0
700,100,53,94.0
1220,400,33,357.0
820,100,241,586.0
1220,400,36,1802.0
520,38,754,1148.0
520,30,754,1182.0
920,150,241,1486.0
740,100,827,715.0
320,70,40,476.0
920,172,356,1022.0
920,172,356,765.0
820,100,241,1199.0
520,37,754,1213.0
820,100,241,939.0
820,100,241,1764.0
0,38,756,90.0
820,100,55,2253.0
920,150,241,1500.0
920,150,241,2136.0
920,150,241,338.0
820,100,53,1095.0
820,100,53,1042.0
800,100,53,1799.0
520,100,53,1466.0
820,100,206,1037.0
920,150,35,1373.0
820,100,206,1149.0
920,150,35,275.0
1120,250,241,1282.0
800,47,754,764.0
0,15,843,1274.0
920,150,241,1004.0
920,150,241,199.0
800,30,754,1000.0
820,100,2,426.0
820,100,53,774.0
620,100,53,774.0
820,100,53,774.0
1120,250,241,1238.0
1120,250,241,1238.0
520,22,754,1561.0
1220,400,33,1459.0
820,100,241,858.0
700,100,53,1424.0
0,4,844,965.0
820,100,53,755.0
820,100,53,755.0
820,100,241,867.0
820,100,241,175.0
1220,400,33,2099.0
1220,400,33,2099.0
520,32,754,65.0
820,100,241,1129.0
820,100,241,996.0
820,100,241,996.0
820,100,53,1193.0
820,100,53,262.0
520,37,754,1046.0
920,150,241,444.0
1120,250,241,133.0
520,42,754,1763.0
520,42,754,1763.0
820,56,358,2445.0
820,52,358,746.0
920,150,241,1126.0
800,56,358,2313.0
800,53,358,1800.0
820,100,241,1464.0
700,43,358,1134.0
920,150,241,757.0
700,100,53,21.0
920,150,241,1014.0
1120,250,241,202.0
920,150,241,1031.0
2500,400,189,1065.0
2500,400,189,1065.0
2500,400,189,1065.0
2500,400,189,1065.0
2500,400,189,1065.0
2500,400,189,1065.0
2500,600,189,1065.0
2500,600,189,1065.0
2500,600,189,1065.0
2500,600,189,1065.0
2500,600,189,1065.0
2500,600,189,1065.0
920,150,241,605.0
940,100,828,799.0
0,70,189,764.0
0,70,189,764.0
820,100,241,672.0
820,100,241,8.0
420,27,809,31.0
820,100,54,1127.0
1020,250,100,680.0
1020,250,100,680.0
820,100,241,932.0
820,100,241,1576.0
820,100,241,1602.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
3000,400,818,85.0
1020,250,241,85.0
1020,250,241,85.0
920,150,241,58.0
920,150,241,672.0
820,100,241,1066.0
820,100,241,1066.0
820,100,53,1066.0
400,100,667,510.0
400,100,667,510.0
0,15,847,993.0
1120,250,241,784.0
1120,250,241,1214.0
1120,250,241,686.0
1200,250,241,941.0
920,150,241,335.0
820,100,241,1800.0
0,70,377,1434.0
1800,400,870,124.0
1800,400,870,124.0
1800,400,870,124.0
1800,400,870,124.0
820,100,241,1171.0
320,27,806,318.0
350,70,40,1003.0
1120,250,241,1592.0
1220,400,33,412.0
520,38,754,2093.0
820,100,241,762.0
820,100,241,751.0
820,100,241,751.0
520,37,754,342.0
520,37,754,1528.0
1120,250,241,205.0
1120,250,241,1042.0
1120,250,241,428.0
920,150,241,815.0
820,100,53,1038.0
820,100,53,728.0
820,100,53,1595.0
920,150,241,1473.0
820,100,241,1150.0
820,100,241,1111.0
820,100,241,422.0
820,100,241,1109.0
820,100,241,1109.0
820,100,241,1109.0
820,100,241,1110.0
1120,250,241,493.0
520,22,754,125.0
820,100,241,1114.0
820,65,358,2534.0
0,150,54,422.0
820,100,241,605.0
0,150,189,506.0
820,100,241,728.0
800,100,53,1570.0
0,100,54,24.0
0,70,377,1301.0
820,43,358,168.0
820,100,241,1114.0
920,150,241,1119.0
820,52,358,69.0
520,70,241,1123.0
920,150,241,1038.0
920,150,241,1038.0
1120,250,36,1246.0
520,30,754,769.0
520,27,754,1704.0
820,100,241,729.0
800,100,241,1007.0
320,36,178,987.0
800,100,241,1150.0
0,23,144,605.0
0,70,54,1112.0
820,100,53,1962.0
820,100,53,1962.0
820,100,241,575.0
920,150,241,45.0
0,150,54,1122.0
0,54,189,2193.0
0,70,377,1025.0
520,100,53,637.0
920,150,241,1170.0
1000,150,241,422.0
820,100,53,28.0
820,100,53,2332.0
820,100,53,618.0
820,100,53,1589.0
820,100,241,1022.0
820,100,53,1122.0
820,100,53,2381.0
820,100,241,1021.0
820,100,241,1021.0
920,150,241,1021.0
820,100,241,1044.0
920,150,241,1021.0
520,22,754,1287.0
520,22,754,1495.0
920,150,241,1072.0
600,70,8,10.0
800,70,237,1093.0
1000,100,161,466.0
1000,100,161,876.0
500,70,8,1517.0
600,70,8,9.0
900,100,8,802.0
800,70,167,618.0
0,90,189,266.0
0,90,189,266.0
900,100,2,791.0
900,100,2,790.0
900,150,2,790.0
900,100,2,914.0
900,100,2,1077.0
900,150,53,696.0
900,150,53,1534.0
900,70,53,426.0
900,150,53,197.0
900,100,53,389.0
400,70,40,315.0
900,100,53,655.0
900,100,53,9.0
900,100,53,240.0
900,100,53,1004.0
900,100,53,1048.0
900,100,53,1123.0
900,100,53,2525.0
400,70,40,1308.0
900,100,53,1177.0
900,100,53,10.0
900,100,53,8.0
300,70,40,12.0
900,100,53,1256.0
300,70,40,953.0
800,100,53,960.0
800,100,53,2496.0
900,100,53,970.0
900,100,53,420.0
800,100,53,1203.0
800,100,53,768.0
800,100,53,1230.0
600,30,189,1241.0
600,100,189,1241.0
1000,150,66,1130.0
1000,150,66,8.0
1000,150,66,1130.0
1000,150,66,1130.0
1000,150,66,8.0
1000,150,66,1130.0
1000,150,66,1130.0
800,100,66,71.0
800,100,66,2402.0
800,100,66,27.0
300,70,189,2273.0
600,70,66,1250.0
600,70,66,2167.0
900,100,53,280.0
300,70,40,280.0
300,70,40,280.0
300,70,40,280.0
900,100,53,1429.0
900,100,53,11.0
900,100,53,1265.0
400,70,122,400.0
400,70,122,1450.0
900,70,37,948.0
1000,100,8,620.0
1000,100,8,713.0
1000,100,8,8.0
1000,100,8,20.0
1000,100,8,33.0
1000,100,8,1041.0
400,70,164,947.0
1000,100,8,562.0
900,100,167,400.0
800,150,53,113.0
900,150,2,1095.0
900,150,2,1095.0
300,70,302,9.0
300,70,302,1.0
300,70,302,9.0
300,70,302,9.0
300,70,302,8.0
300,70,302,8.0
300,70,302,9.0
300,70,302,9.0
300,70,302,9.0
300,70,302,9.0
300,70,302,9.0
300,70,302,9.0
900,100,66,9.0
900,150,241,296.0
900,150,241,466.0
900,100,66,9.0
900,100,66,1021.0
900,100,66,1021.0
900,100,66,1191.0
900,100,66,466.0
900,100,66,905.0
900,100,66,2428.0
900,100,66,978.0
900,100,66,978.0
900,100,66,146.0
900,100,66,1543.0
900,100,66,1543.0
900,100,66,1030.0
900,150,241,500.0
900,150,241,466.0
500,70,66,1283.0
800,100,66,1632.0
800,100,66,2066.0
400,70,40,598.0
400,70,40,106.0
800,100,66,2187.0
800,100,66,1740.0
500,70,66,1283.0
800,150,66,287.0
800,150,66,287.0
