arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine
1118594,1/1/2024,13/2/2026,900.0,0.0,1.0,150.0,AS,Armatura stradale,2.0,ME,Mensola,,,,,,,41.752613339136,12.37279901391678
1223823,1/6/2025,13/2/2026,1300.0,0.0,1.0,83.0,AS,Armatura stradale,750.0,TF,Torre faro,,,,,,,41.93093805299661,12.344108063377522
1287467,1/1/2026,13/2/2026,0.0,0.0,1.0,4.0,SS,Segnaletica luminosa stradale,2120.0,NN,Non noto,,,,,,,41.750437074085035,12.28294913003507
937064,1/1/2023,13/2/2026,0.0,0.0,1.0,65.0,AS,Armatura stradale,1456.0,SB,Sbraccio su palo,,,,,,,42.00464418405792,12.314324178672003
280500,17/10/2016,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,1241.0,TP,Testapalo,,,,,,,41.86457534618279,12.46947648390545
1169998,1/1/2025,13/2/2026,300.0,0.0,1.0,30.0,AU,Arredo urbano,195.0,TP,Testapalo,,,,,,,42.01207671770532,12.282714845559882
1156574,1/1/2025,13/2/2026,800.0,0.0,1.0,102.0,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.87226061764019,12.604005499337802
1000550,1/8/2023,13/2/2026,500.0,0.0,1.0,40.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.92028289061315,12.591403344508521
584510,2/12/2019,13/2/2026,0.0,0.0,1.0,30.0,LA,Lanterna artistica ,656.0,NN,Non noto,,,,,,,41.94375492785463,12.585000759913807
632384,1/11/2020,13/2/2026,350.0,0.0,1.0,40.0,AU,Arredo urbano,769.0,TP,Testapalo,,,,,,,41.79090758916127,12.481125117403037
1135540,1/1/2024,13/2/2026,400.0,30.0,1.0,18.0,AS,Armatura stradale,4079.0,SB_DR,Sbraccio attacco dritto,,,,,,,41.875451227458456,12.574654674220088
272333,17/10/2016,13/2/2026,0.0,0.0,1.0,70.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.896073912680926,12.56533891714818
637215,1/11/2020,13/2/2026,500.0,0.0,1.0,30.8,AS,Armatura stradale,1943.0,TP,Testapalo,,,,,,,41.876310062782274,12.495636594594613
157186,18/9/2018,13/2/2026,920.0,0.0,1.0,150.0,AS,Armatura stradale,241.0,TP,Testapalo,,,,,,,41.92648374105505,12.526390138445407
877750,1/1/2023,13/2/2026,800.0,0.0,1.0,18.0,AS,Armatura stradale,2816.0,TP,Testapalo,,,,,,,41.75870596845133,12.362505751576643
1225569,1/6/2025,13/2/2026,500.0,0.0,1.0,13.0,AU,Arredo urbano,1811.0,TP,Testapalo,,,,,,,41.88901378133973,12.496565088578986
474285,1/1/2020,13/2/2026,800.0,0.0,1.0,70.0,AS,Armatura stradale,640.0,TP,Testapalo,,,,,,,41.80774441770391,12.522723173594404
1051802,1/1/2019,13/2/2026,930.0,270.0,1.0,52.0,AS,Armatura stradale,1941.0,SB,Sbraccio su palo,,,,,,,41.990533118273646,12.417452411443225
1038436,1/1/2022,13/2/2026,800.0,0.0,1.0,77.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.71411561329818,12.31798611681012
712621,1/1/2022,13/2/2026,450.0,0.0,1.0,40.5,AU,Arredo urbano,776.0,TP,Testapalo,,,,,,,41.91162897734806,12.677600187319102
502337,1/1/2020,13/2/2026,900.0,100.0,1.0,70.0,AS,Armatura stradale,640.0,SB,Sbraccio su palo,,,,,,,41.86907374075893,12.407794336276192
1167748,1/1/2025,13/2/2026,300.0,0.0,1.0,30.0,AU,Arredo urbano,195.0,TP,Testapalo,,,,,,,41.90071303916213,12.607860261649787
1037797,1/1/2022,13/2/2026,700.0,0.0,1.0,19.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.84822280044934,12.354211854263669
893173,1/5/2022,13/2/2026,450.0,0.0,1.0,150.0,SF,Sfera,189.0,NN,Non noto,,,,,,,41.959767278517425,12.390453825204238
1031700,1/1/2024,13/2/2026,800.0,150.0,1.0,70.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.73980648118494,12.283736755608741
1086888,1/9/2024,13/2/2026,500.0,100.0,1.0,150.0,LA,Lanterna artistica ,3804.0,ME,Mensola,,,,,,,41.90750794471901,12.669764230042963
140612,26/3/2018,13/2/2026,900.0,0.0,1.0,39.5,AS,Armatura stradale,1867.0,SB,Sbraccio su palo,,,,,,,41.87439594027209,12.399325066011958
1116495,1/1/2025,13/2/2026,0.0,0.0,1.0,50.0,AU,Arredo urbano,189.0,TP,Testapalo,,,,,,,41.93224217008196,12.613897316430187
490213,1/1/2020,13/2/2026,650.0,400.0,1.0,70.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.847749361508406,12.463971466691037
1300379,1/1/2025,13/2/2026,800.0,0.0,1.0,40.0,AS,Armatura stradale,3360.0,TP,Testapalo,,,,,,,41.92075383622348,12.61404533645747
1123955,1/11/2024,13/2/2026,0.0,0.0,1.0,58.0,LA,Lanterna artistica ,4019.0,TP,Testapalo,,,,,,,41.93606520277583,12.459849298498563
