arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine,giorni_vita_attuale,prob_guasto_entra_60gg
1118594,2024-01-01,13/2/2026,900.0,0.0,1.0,150.0,AS,Armatura stradale,2.0,ME,Mensola,,,,,,,41.752613339136,12.37279901391678,781,52.22
1223823,2025-06-01,13/2/2026,1300.0,0.0,1.0,83.0,AS,Armatura stradale,750.0,TF,Torre faro,,,,,,,41.93093805299661,12.344108063377522,264,50.93
1287467,2026-01-01,13/2/2026,0.0,0.0,1.0,4.0,SS,Segnaletica luminosa stradale,2120.0,NN,Non noto,,,,,,,41.75043707408504,12.28294913003507,50,35.19
937064,2023-01-01,13/2/2026,0.0,0.0,1.0,65.0,AS,Armatura stradale,1456.0,SB,Sbraccio su palo,,,,,,,42.00464418405792,12.314324178672004,1146,38.47
280500,2016-10-17,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,1241.0,TP,Testapalo,,,,,,,41.86457534618279,12.46947648390545,3413,49.88
1169998,2025-01-01,13/2/2026,300.0,0.0,1.0,30.0,AU,Arredo urbano,195.0,TP,Testapalo,,,,,,,42.01207671770532,12.282714845559882,415,39.78
1156574,2025-01-01,13/2/2026,800.0,0.0,1.0,102.0,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.87226061764019,12.604005499337802,415,39.61
1000550,2023-08-01,13/2/2026,500.0,0.0,1.0,40.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.92028289061315,12.59140334450852,934,41.01
584510,2019-12-02,13/2/2026,0.0,0.0,1.0,30.0,LA,Lanterna artistica ,656.0,NN,Non noto,,,,,,,41.94375492785463,12.585000759913807,2272,45.96
632384,2020-11-01,13/2/2026,350.0,0.0,1.0,40.0,AU,Arredo urbano,769.0,TP,Testapalo,,,,,,,41.79090758916127,12.481125117403035,1937,48.57
1135540,2024-01-01,13/2/2026,400.0,30.0,1.0,18.0,AS,Armatura stradale,4079.0,SB_DR,Sbraccio attacco dritto,,,,,,,41.875451227458456,12.574654674220088,781,43.49
272333,2016-10-17,13/2/2026,0.0,0.0,1.0,70.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.896073912680926,12.56533891714818,3413,46.96
637215,2020-11-01,13/2/2026,500.0,0.0,1.0,30.8,AS,Armatura stradale,1943.0,TP,Testapalo,,,,,,,41.876310062782274,12.495636594594613,1937,50.99
157186,2018-09-18,13/2/2026,920.0,0.0,1.0,150.0,AS,Armatura stradale,241.0,TP,Testapalo,,,,,,,41.92648374105505,12.526390138445407,2712,70.95
877750,2023-01-01,13/2/2026,800.0,0.0,1.0,18.0,AS,Armatura stradale,2816.0,TP,Testapalo,,,,,,,41.75870596845133,12.362505751576643,1146,51.13
1225569,2025-06-01,13/2/2026,500.0,0.0,1.0,13.0,AU,Arredo urbano,1811.0,TP,Testapalo,,,,,,,41.88901378133973,12.496565088578986,264,42.2
474285,2020-01-01,13/2/2026,800.0,0.0,1.0,70.0,AS,Armatura stradale,640.0,TP,Testapalo,,,,,,,41.80774441770391,12.522723173594404,2242,59.74
1051802,2019-01-01,13/2/2026,930.0,270.0,1.0,52.0,AS,Armatura stradale,1941.0,SB,Sbraccio su palo,,,,,,,41.990533118273646,12.417452411443223,2607,59.74
1038436,2022-01-01,13/2/2026,800.0,0.0,1.0,77.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.71411561329818,12.31798611681012,1511,39.42
712621,2022-01-01,13/2/2026,450.0,0.0,1.0,40.5,AU,Arredo urbano,776.0,TP,Testapalo,,,,,,,41.91162897734806,12.677600187319102,1511,47.53
502337,2020-01-01,13/2/2026,900.0,100.0,1.0,70.0,AS,Armatura stradale,640.0,SB,Sbraccio su palo,,,,,,,41.86907374075893,12.407794336276192,2242,60.95
1167748,2025-01-01,13/2/2026,300.0,0.0,1.0,30.0,AU,Arredo urbano,195.0,TP,Testapalo,,,,,,,41.90071303916213,12.607860261649789,415,39.78
1037797,2022-01-01,13/2/2026,700.0,0.0,1.0,19.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.84822280044934,12.354211854263667,1511,39.87
893173,2022-05-01,13/2/2026,450.0,0.0,1.0,150.0,SF,Sfera,189.0,NN,Non noto,,,,,,,41.95976727851743,12.390453825204238,1391,39.3
1031700,2024-01-01,13/2/2026,800.0,150.0,1.0,70.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.73980648118494,12.28373675560874,781,43.24
1086888,2024-09-01,13/2/2026,500.0,100.0,1.0,150.0,LA,Lanterna artistica ,3804.0,ME,Mensola,,,,,,,41.90750794471901,12.669764230042963,537,39.02
140612,2018-03-26,13/2/2026,900.0,0.0,1.0,39.5,AS,Armatura stradale,1867.0,SB,Sbraccio su palo,,,,,,,41.87439594027209,12.399325066011958,2888,61.1
1116495,2025-01-01,13/2/2026,0.0,0.0,1.0,50.0,AU,Arredo urbano,189.0,TP,Testapalo,,,,,,,41.93224217008196,12.613897316430188,415,31.6
490213,2020-01-01,13/2/2026,650.0,400.0,1.0,70.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.847749361508406,12.463971466691037,2242,82.91
1300379,2025-01-01,13/2/2026,800.0,0.0,1.0,40.0,AS,Armatura stradale,3360.0,TP,Testapalo,,,,,,,41.92075383622348,12.61404533645747,415,46.2
1123955,2024-11-01,13/2/2026,0.0,0.0,1.0,58.0,LA,Lanterna artistica ,4019.0,TP,Testapalo,,,,,,,41.93606520277583,12.459849298498565,476,35.3
997489,2023-07-01,13/2/2026,800.0,0.0,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.897742044982174,12.675779730803225,965,41.66
1205845,2025-01-01,13/2/2026,900.0,20.0,1.0,76.0,AS,Armatura stradale,1155.0,SB,Sbraccio su palo,,,,,,,42.06785197060656,12.338706673565602,415,46.37
1179833,2020-01-01,13/2/2026,1020.0,20.0,1.0,111.0,AS,Armatura stradale,1384.0,SB,Sbraccio su palo,,,,,,,41.884680836704185,12.611134160467536,2242,64.53
495798,2018-06-01,13/2/2026,800.0,0.0,1.0,73.0,AS,Armatura stradale,605.0,SB,Sbraccio su palo,,,,,,,41.96841478992784,12.514714190652445,2821,51.71
699158,2022-01-13,13/2/2026,0.0,50.0,1.0,113.0,PR,Proiettore,747.0,ME,Mensola,,,,,,,41.78678057064222,12.55804363309086,1499,38.76
624978,2020-11-01,13/2/2026,0.0,0.0,1.0,74.0,AS,Armatura stradale,753.0,SB,Sbraccio su palo,,,,,,,41.77042032372687,12.390011850774671,1937,42.54
1129633,2025-01-01,13/2/2026,800.0,150.0,1.0,65.0,AS,Armatura stradale,2065.0,SB,Sbraccio su palo,,,,,,,41.80754731368618,12.630058076461186,415,45.34
