arm_id,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tmo_id,tpo_cod,as_of_date,cnt_events_30d,cnt_events_90d,cnt_events_180d,days_since_last_event,days_since_last_replace,risk_score
3799,,,39.0,53.0,AS,186,SB,2025-04-15 11:29:29,0,0,0,,,0.9999984903151781
4124,,,15.0,80.0,NN,189,NN,2025-04-15 11:29:29,0,0,0,,,0.9903857628972907
3509,0.0,0.0,1.0,150.0,AS,261,SB,2025-04-15 11:29:29,0,0,0,3326.1170023148147,3326.1170023148147,0.9133757526552849
3497,0.0,0.0,1.0,150.0,AS,261,SB,2025-04-15 11:29:29,0,0,0,3324.0850578703703,3324.0850578703703,0.9133168958414705
9208,1100.0,80.0,1.0,150.0,AS,241,NN,2025-04-15 11:29:29,0,0,0,2472.4711689814817,2472.4711689814817,0.8144459106344506
3983,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3979,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3978,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3985,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3986,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3970,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3974,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3972,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3984,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3973,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3971,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
3975,0.0,0.0,1.0,100.0,AS,189,SB,2025-04-15 11:29:29,0,0,0,3784.7420023148147,3784.7420023148147,0.7946203871689794
9113,930.0,270.0,1.0,150.0,AS,241,NN,2025-04-15 11:29:29,0,0,0,2673.7433912037036,2673.7433912037036,0.7819727032230108
9198,930.0,270.0,1.0,150.0,AS,241,NN,2025-04-15 11:29:29,0,0,0,2472.5017245370373,2472.5017245370373,0.7691554000270425
9100,930.0,270.0,1.0,150.0,AS,241,NN,2025-04-15 11:29:29,0,0,0,2472.4982523148146,2472.4982523148146,0.7691551743933593
8627,930.0,270.0,1.0,150.0,AS,241,NN,2025-04-15 11:29:29,0,0,0,2472.494085648148,2472.494085648148,0.7691549036327359
